Nro_Carrera,Numero,Nombre_Carrera,Distancia_Pista,Caballo_Padre,Kilos,Jinete,Preparador,Indice,Ultimas_Llegadas,Fecha_Ult,Dist_Serie_Ult,Cps_Tpo_Ult,Div_Ult,Peso_Fis,Stud_Colores,Observaciones
11,2,INFANTA ISABEL (4956),"1100m Pasto",LA PALA (Flameaway),56,M. Morales,R. Montesino S.,7,10cP 3cP 6cP,15/12,1.000 16-8,3/4 cpo 0:57.60,3.9,492,Botafogo Blanco Y Verde En Ruedas Gr. Verde,
11,3,INFANTA ISABEL (4956),"1100m Pasto",TEA AND MILK (Lookin At Lucky),57,G. Rodriguez,J. Castillo L,8,11cP 5cP 2cP,01/12,1.000 7-3,9 1/2 0:57.23,8.3,411,Sergirroa Naranjo Y Turquesa En Ruedas Mngs Ve,Abierto al partir [cite: 291]
11,4,INFANTA ISABEL (4956),"1100m Pasto",PURA ROSA (War Command),58,Joh. Gonzalez,Fco. Pinochet P.,9,3cP 10cP 8cP,01/12,1.000 14-7,5 3/4 c 0:59.14,22.2,429,Barti Blanco Estrella Negro M. Listadas Gr. En Ca,
11,5,INFANTA ISABEL (4956),"1100m Pasto",MANKIND (Goldencents),58,R. Painen,H. Manriquez F.,8,4cP 8cP 4cA,07/12,1.200 9-5,1 3/4 1:12.09,18.5,436,Facundo Santiago Celeste Cruz Rojo M. Celeste Li,
11,6,INFANTA ISABEL (4956),"1100m Pasto",EL BOHEMIO (Midshipman),59,B. Trancoso,A. Padovani E.,10,3cP 6CP 1cP,15/12,1.000 7-3,3/4 cpo 0:58.83,2.6,466,Olimpic Blue Turquesa M. Blanco Y Ngra En Rueda,
11,7,INFANTA ISABEL (4956),"1100m Pasto",EL KING (Megliare Di Tutti),58,Js. Cueto,H. E. Ulloa P.,8,8A 8cP 11P,15/12,1.000 16-8,14 3/4 0:57.23,97.5,430,Ajsa - Fucsia Estrella Rosado M. Fucsia Tres Bra. R,Cortada linea al partir [cite: 286]
11,8,INFANTA ISABEL (4956),"1100m Pasto",CASPER INN (Dylan Thomas),58,S. Muñoz,L. Machulas 6.,8,2h 2h 3h,11/12,1.000 11.5,9.3/4 0.56.95,5.6,409,Pepeluche Azul Y Gris Perla Listado Gr. Gris Perla,
11,9,INFANTA ISABEL (4956),"1100m Pasto",NEL BLU (Constitution),58,M. Gutierrez,Cl. Bernal 6.,8,3A 11h 3cA,12/12,1.000 7.5,2 3/4 0:59.68,19.7,434,Di Giorgio Dicane Verde Flor De Lis Rojo M. Verde,
11,10,INFANTA ISABEL (4956),"1100m Pasto",EL NENE (Papelun),54,A. Alvarez,Cl. Bernal G.,4,2cA 2A 12A,12/12,1.000 7.5,10 3/4 0:59.68,8,425,Mascotta Blanco Fi. Y Bra. Naranja Gr. Negro,Partió levemente desmejorado [cite: 287]
11,11,INFANTA ISABEL (4956),"1100m Pasto",EXTROVERTIDA (Mastercraftsma),54,F. Medina,H. Manriquez F.,4,8cP IcP 5cP,07/12,1.000 10-4,2 3/4 0:58.34,25.2,455,Oscarito Rojo Fj. Anillos Y Gr. Blanco,
11,12,INFANTA ISABEL (4956),"1100m Pasto",PACIFICADOR (Dangerous Midge),56,L. C. Gonzalez,O. Martinez L.,6,8cA 9cP 2cP,15/12,1.000 7-3,3/4 сра 0:58.83,15.5,414,Le Campo Roje Ban. Lista Y Gr. Amarillo,Mañoseaba y se cargaba en carrera [cite: 287]
12,1,ISOLINO (4957),"1100m Pasto",NONA BLANCA (Katmai),57,J. Toro,Js. Araya B.,2,8cA 7cA 9cP,15/12,1.000 7-3,9 1/2 0:58.83,24.7,453,Roger Wellmann H. Naranjo Rambo Y Gr. Verde,
12,2,ISOLINO (4957),"1100m Pasto",GRAN TOMAHAWK (Daddy Long),56,M. A. Donoso,O. E. Silva G.,1,5cA 7cA 7cA,12/12,1.000 2-1,5 3/4 c 1:00.58,11.8,464,Sagardia Hnos. Blanco Lun. Rej,
12,3,ISOLINO (4957),"1100m Pasto",BICAMPEON CHILENO (Dylan The),56,M. A. Bustamar,Js. Araya B.,1,8cP 5cP 4cP,15/12,1.000 2-1,2 1/2 0:58.35,11.2,420,El Mero Mero Rojo Ban. Blanco M. En Ruedas Gr,
12,4,ISOLINO (4957),"1100m Pasto",AGUILA DE FUEGO (Good Samarit),56,R. Fuenzalida,R. Montesino S.,1,7cP 14cP 9P,15/12,1.000 2.1,7 cpos. 0:58.35,17.2,401,Guerrero De La Vida Rojo Estrellas Y Bra. Negr,
12,5,ISOLINO (4957),"1100m Pasto",SEE YOU AGAIN (Good Samaritan),57,L. C. Gonzalez,F. Gonzalez S.,2,11cP 9cA 6cP,15/12,1.000 7-3,7 1/4 0:58.83,38,497,Por Ti Negrita Verde Cruzado Blanco M. Blanco B,
12,6,ISOLINO (4957),"1100m Pasto",ANTIOCO (Classic Empire),58,M. Morales,R. Montesina S.,3,3cA 8A 12A,15/12,1.400 7-2,13 τμος 1:26.92,14.4,489,Los Cabezas Alvarez Rosado Estrella Verde M. Y E,Mañoseaba en últimas distancias [cite: 334]
12,7,ISOLINO (4957),"1100m Pasto",NOVELA GRIEGA (Ocean Ter),57,P. Reyes,C. Garcia V.,2,9cP,15/12,1.000 2-1,11 3/4 0:59.69,120.1,410,Fritzi Blanco Fj. Azul Bra. Y Gr. Roj,
12,8,ISOLINO (4957),"1100m Pasto",OJO DE HALCON (Seville li),58,D. Carrasco,R. Toledo M.,3,6cP,28/02,1.100 10-6,5 3/4 1:03.83,14.7,448,Buren Azul Y Dorado A Cuadritus Gr. En Casc,
12,9,ISOLINO (4957),"1100m Pasto",VALLTTERI (War Command),57,R. Avila,R. Montesino S.,2,6cA 1 3P 12A,15/12,1.000 2-1,1 cpo. 0:58.35,4.6,454,Montesino S. Raul Verde Estrella Y Gr. Azul,
12,10,ISOLINO (4957),"1100m Pasto",MUY RESPETADA (Forever Thing),56,Js. Solane,D. E. Silva G.,1,11P 1 4cP 4cP,17/11,1.000 4-1,8 cpos. 0:58.62,11.6,391,Sagardia Hnos. Blanco Lun. Roj,
12,11,ISOLINO (4957),"1100m Pasto",TAN DECORATIVA (Daddy Long L),56,W. Quinteros,R. Silva S.,1,6cP ICP,07/12,1.300 3-1,8 cpos. 1:16.90,12.7,439,Mis Tres Amores Negro Chevron Amarillo M. Neg,
13,1,INFIERNO ROJO (4958),"1100m Pasto",TRES PRINCIPES (Flameaway),58,G. Ullea,H. E. Ulloa P.,17,10cP IcP 2cP,07/12,1.000 15-11,1 1/4 c 0:57.20,39.1,464,Mundo Futuro H. Blanco Y Dorado Diagonal Ban. I,
13,2,INFIERNO ROJO (4958),"1100m Pasto",JALONADO (Dylan Thomas),56,Js. Solano,0. E. Silva G.,13,3cP 9cP 15cA,10/11,1.000 18-13,9 1/4 0:57.82,34,515,Sagardia Hnos. Blanca Lun. Roj,Se abria en las curvas y se le salió una herradura [cite: 410]
13,3,INFIERNO ROJO (4958),"1100m Pasto",HUMAN SOUL (Ivan Denisovich),56,B. Sancho,Jn. Rodriguez R.,13,12cP 10P 5cP,12/12,1.000 Condi,Chza. 0:58.92,5.3,448,Shalimar Naranjo Y Celeste Listada Gr. En Casco,Ejemplar reventó sangre [cite: 410]
13,4,INFIERNO ROJO (4958),"1100m Pasto",FRENCH CANDY (Señor Candy),56,F. Medina,R. Montesina S.,13,12cP 16 10cP,12/12,1.300 17-6,2 3/4 1:16.49,12.9,447,Montesine S. Raul Verde Estrella Y Gr. Azul,Saltó hacia adentro al partir [cite: 410]
13,5,INFIERNO ROJO (4958),"1100m Pasto",KANDOZI (Ivan Denisovich),57,Seb. Gonzalez,R. Montesino S.,14,4cP 5cP 3cP,07/12,1.300 Clás,28 1/2 1:41.76,96.2,470,Montesino S. Raul Verde Estrella Y Gr. Azul,
13,6,INFIERNO ROJO (4958),"1100m Pasto",CRANS MONTANA (Bad Daddy),59,J. Herrera,Cl. Bernal G.,17,3P 6P BCP,05/12,1.200 20-14,14 3/4 1:08.33,8.1,436,Duña Emma Amarillo Y Morade En Ruedas M. Anm,
13,7,INFIERNO ROJO (4958),"1100m Pasto",ALTO FOREVER (Ivan Denisovich),57,G. Rodriguez,J. Castillo L,15,4cP 14 7cP,07/12,1.000 15.11.2,3/4 0:57.20,11.2,482,Palestina Negro Y Varde En Ruedas M. Y Gr. Blant,Se cargaba en tierra derecha [cite: 410]
13,8,INFIERNO ROJO (4958),"1100m Pasto",HERR MAXIMUM (Dubai Sky),58,Jon. A. Castillo,S. Alvarado P.,14,10cP 4cP 4cP,12/12,1.300 17-6,3 1/2 c 1:16.49,15,465,Kunz Amarilla Azul Y Blanco Listada M. Blanco Br,
13,9,INFIERNO ROJO (4958),"1100m Pasto",TIGRO (ARG) (Mastercraftsman),57,A. Apablaza,C. Gonzalez M.,14,8cP 3cP 11cA,15/12,1.000 14-11,6 1/2 c 0:58.02,73.2,452,Charito Naranjo Fr. Y Puñus Dorado Gr. A Cuadro,
13,10,INFIERNO ROJO (4958),"1100m Pasto",RAIRET (Dylan Thomas),56,R. Solorza,C. Gonzalez M.,13,11cP 11P 11cP,12/12,1.000 14-11,15 3/4 0:58.63,16,432,Charito Naranjo Fr. Y Puñus Dorado Gr. A Cuadro,
13,11,INFIERNO ROJO (4958),"1100m Pasto",PETIROSSA (Ivan Denisovich),54,R. Avila,R. Montesino S.,11,13cP 8A 14cA,15/12,1.400 21-16,19 1/4 1:24.85,22,443,Montesino S. Raul Verde Estrella Y Gr. Azul,
14,1,INAMBU (4959),"1000m Arena",ERKAN (Flameaway),57,M. A. Bustamar,Js. Araya B.,3,8cP 6CP 6CP,12/12,1.000 Condi,5 1/2 c 0:58.69,64.3,428,Shot Menzel Gris Cruz De Santiago Amarillo M. Az,
14,2,INAMBU (4959),"1000m Arena",RAYMI (International Star),57,R. Solorza,Js. Araya B.,3,12cA 13cP 10cP,12/12,1.000 Condi,14 1/4 0:58.92,104.6,423,Shot Menzel Gris Cruz De Santiago Amarillo M. Az,
14,3,INAMBU (4959),"1000m Arena",POETA GRIEGO (ARG) (Lucullan),57,B. Leon,Jn. Rodriguez R.,3,6cP 7cA 3P,12/12,1.000 Condi,2 1/2 c 0:58.69,37.7,415,Vigalu Azul Estrella Amarillo M. En Ruedas Gr. Er,
14,4,INAMBU (4959),"1000m Arena",MACHINE HEAD (Palm Springs),57,N. Rojas-4,J. Pinochet P,3,7cA 5A 6A,15/12,1.000 Condi,3 1/2 0:59.83,7.8,464,Magdalena Negro Rombos Calipso M. Calipso List,Salto partiendo levamente desmejorado [cite: 462, 464]
14,5,INAMBU (4959),"1000m Arena",JULIO PARDO (Dylan Thomas),57,M. Gutierrez,C. Gonzalez M.,3,BVA 5A 9A,15/08,1.000 Condi,11 3/4 0:58.75,5.4,480,Charita-Naranjo Fr. Y Puños Dorado Gr. A Cuadro,
14,6,INAMBU (4959),"1000m Arena",ALFONSO EL GRANDE (Alfonso),157,A. Alvarez,Cl. Bernal G.,3,12cA BCA,17/11,1.000 Condi,7 cpos. 0:59.25,45.7,466,Tata Menghini Blanco Circulo Rojo Bra. Y Gr. Ven,Se abria en el curso de la carrera [cite: 463]
14,7,INAMBU (4959),"1000m Arena",GO SUNSHINE GO (Spun To Run),157,J. Herrera,Js. Alvarez D.,3,4cA 2A 3A,05/12,1.000 Condi,3 1/4 c 0:58.89,2.1,459,Amigos Verde M. Y Gr. Negro Bra. Y Hombreras Ri,Cargado y cortada su linea [cite: 464]
14,8,INAMBU (4959),"1000m Arena",ARRUMACO (Zawraq),57,B. Sancho,M. Velarde B.,3,9h 11cP 10A,05/12,1.000 Condi,16 1/2 0:58.89,78.4,452,Velarde 8 Manuel A Blanco Herraduras Y Gr. Rojo,
14,9,INAMBU (4959),"1000m Arena",LUPO VELOCE (Viscount Nelson),57,L. C. Gonzalez,E. Carreño R.,3,10cA 12A 3A,05/12,1.000 Condi,13 1/4 0:58.89,99.6,448,El Ganchito Negro Cruz Celeste Magas Listadas G,
14,10,INAMBU (4959),"1000m Arena",TRASCATRASCA (Bad Daddy),57,Seh. Gonzalez,Js. Inda De La C..,3,13cP 14cP 11P,12/12,1.000 Condi,19 3/4 0:58.92,49.2,477,Mundo Futuro H. Blanco Y Dorado Diagonal Ban. 1,
14,11,INAMBU (4959),"1000m Arena",VIAJE A CARMEL (Forward Marci),57,A. Villagra-4,0. Martinez L.,3,15cA 14cP 9cP,12/12,1.000 Condi,13 1/2 0:58.92,77.6,433,Masaiva Azul Fj. Amarillo-Blanco-Amarille Bra. Y C,
14,12,INAMBU (4959),"1000m Arena",SIEMPRE ESTOY (International St),57,G. Rodriguez,Js. Allende F,3,8cP 7A 7cP,12/12,1.600 Condi,26 1/4 1:36.51,26.1,486,Como Lo Queri Verde M. Negro Y Verde Listadas E,Salto al partir y se iba de punta en tierra derecha [cite: 465]
14,13,INAMBU (4959),"1000m Arena",TEMPLE DEL TOQUE (Dubai Sky),57,8. Muñoz,L. Machulas G.,3,8h 9h 41,29/11,1.000 Condi,2 3/4 cj 0.57.78,90.1,433,Yayita Naranjo Tirante En Rombos Y M. Morado G,
14,14,INAMBU (4959),"1000m Arena",TORO DEL MONTE (Monthir),57,R. Fuenzalida,A. Bernal G.,3,9cA,05/12,1.000 Condi,9 3/4 c 0:59.51,12.1,443,Bernal G. Andres Naranjo Tirantes Lista Y Gr. Azı,
14,15,INAMBU (4959),"1000m Arena",SALTO DE AMISTAD (Grand Dad),57,R. S. Deres,S. Morales G.,3,4cA,07/04,1.000 Condi,2 3/4 cj 1:00.15,13.2,478,Por Ti Negrita Verde Cruzado Blanco M. Blanco B,
15,1,ISAAK (4960),"1200m Arena",LA ESCUDERA (Lookin At Lucky),57,M. A. Bustamar,Js. Araya B.,10,4cA IcA 10A,05/12,1.000 12-10,3 3/4 0:59.13,15.8,443,Los Caleranos Rojo Estrellas Y Bra. Blanco Gr. En,
15,2,ISAAK (4960),"1200m Arena",MORINGA (Seeking The Dia),56,J. Medina,J. Castillo L,9,9cP 2cA 7A,14/11,1.200 10-6,5 3/4 1:10.95,2.5,450,Los Pincheira Verde Cruzado Y Lista Dorado Gr. Et,
15,3,ISAAK (4960),"1200m Arena",LONCO BRAVO (El Hueñe),56,Jr. A. Gonzalez,G. Melej R.,9,97cA 6сР,07/12,1.200 15-9,4 1/4 1:10.94,3.2,478,C.H.C. Azul Rombos Gris Gr. Roj,
15,4,ISAAK (4960),"1200m Arena",JUNO (Classic Empire),56,Seh. Gonzalez,H. E. Ulloa P.,9,7A 8A 4cA,01/12,1.400 10-2,3 3/4 1:26.72,7,487,Buren Azul Y Dorado A Cuadritus Gr. En Casc,Salto hacia afuera al partir [cite: 517]
15,5,ISAAK (4960),"1200m Arena",ACLIS (Exaggerator),56,Js. Paredes,R. Toledo M.,9,4cA IcA 7A,12/12,1.000 14-11,7 3/4 0:58.63,23.6,456,Sagardia Hnos. Blanco Lun. Roj,
15,6,ISAAK (4960),"1200m Arena",CIAO JUANITA (Good Samaritan),57,L. D. Menghini,O. E. Silva G.,10,12cA 6A 8cA,12/12,1.000 11-10,7 3/4 0:59.85,18.3,436,Rey Arturo Verde Tirantes Blanco M. Blanco Y Ver,
15,7,ISAAK (4960),"1200m Arena",A MI EDAD DIFICIL (Patternrecog),56,R. Covarrubias,S. Alvarado P.,9,7cA 5cA 6cA,12/12,1.000 11-10,4 3/4 0:59.85,6.2,523,Los Primos Tarifeño Rojo Y Azul Listada Pechura I,Cargado en las primeras distancias [cite: 516]
15,8,ISAAK (4960),"1200m Arena",COSE DELLA VITA (International),57,M. Morales,S. Alvarado P.,10,10A 14cA 12A,28/11,1.000 12-10,12 1/4 0:58.61,54.1,0,Energia Amarillo Rombos Negro Y Rojo Mitad Supi,
15,9,ISAAK (4960),"1200m Arena",CASUAL VISION (Vision And Vers),56,R. S. Dores,D. Matte D.,9,3CA 6CA 8A,12/12,1.000 11-10,6 3/4 c 0:59.85,8.1,441,Matte D. Domingo Rojo Bra. Y Gr. Celeste,
15,10,ISAAK (4960),"1200m Arena",SULTAN GUERRERO (Van Nistelro),55,R. Avila,D. Matte D.,8,6cA 9cA 7cA,12/12,1.000 9-8,8 3/4 c 0:59.23,17.1,468,Yayita Naranjo Tirante En Rombos Y M. Morado G,
15,11,ISAAK (4960),"1200m Arena",AMPAWAN (Katmai),54,B. Soto,R. Montesina S.,8,11cA 8cA 9cP,15/12,1.000 16-8,13 1/2 0:57.23,58.4,437,Roger Wellmann H. Naranjo Rombo Y Gr. Verde,
15,12,ISAAK (4960),"1200m Arena",BRUJO DORADO (Ocean Terrace),55,D. Carrasco,Jn. Rodriguez R.,8,9cA 4cP 8cP,15/12,1.000 16-8,12 1/2 0:57.23,18.9,442,Fritzi Blanco Fj. Azul Bra. Y Gr. Roj,Saltó hacia afuera al partir [cite: 516]
15,13,ISAAK (4960),"1200m Arena",EL PELUSA (Daddy Long Legs),55,M. A. Donoso,D. E. Silva G.,8,9cA 15cA 13A,12/12,1.000 9-8,14 3/4 0:59.23,45.3,455,Sagardia Hnos. Blanco Lun. Raj,Abierte en los últimos 400 metros [cite: 517]
15,14,ISAAK (4960),"1200m Arena",RUCIA DEL DOC (Exaggerator),55,J. Toro,A. Fernandez L.,8,th 7cA 6cA,12/12,1.000 9-8,6 3/4 0:59.23,18,425,Fernandez L Alvaro Negro Hombreras Y Anillos Ori,
15,15,ISAAK (4960),"1200m Arena",SEÑOR TRONCOSO (Forward Mai),56,R. Fuenzalida,Cl. Bernal G.,9,BCA 12A 5cA,12/12,1.000 11-10,3/4 сро 0:59.85,12.1,441,Bernal G Claudio Rojo Chevrones Y Anilles Azules,
16,1,IGUALITO (4961),"1200m Arena",DE ORO Y COBRE (Constitution),58,G. Rodriguez,H. Manriquez F.,24,2cA ICA 1cA,07/12,1.200 19-14,3/4 cpo 1:11.27,4.1,443,Savka Hermanos Amarillo Y Gris Perla A Cuadrito,
16,2,IGUALITO (4961),"1200m Arena",DONDE RAUL (Malagacy),54,V. Miranda,A. Padovani E.,19,4cA 9cA 4cA,12/12,1.000 23-19,1 3/4 0:58.58,4.9,544,Transportes Mendez-Verde M. Amarillo Gr. En Rue,
16,3,IGUALITO (4961),"1200m Arena",CRISTALINO (Mendelssohn),55,Jon. A. Castillo,A. Parra D.,20,2cA BCA 7A,12/12,1.000 23-19,8 cpos. 0:58.58,4.2,520,Marita Verde Fr. Y Bra. Y Gr. Naranj,
16,4,IGUALITO (4961),"1200m Arena",RIO AZOPARDO (Constitution),56,B. Sancho,Cl. Bernal 6.,21,2cP 4cA 50A,12/12,1.000 23-19,3 1/4 c 0:58.58,6.9,506,Mar Y Sol-Amarillo Y Rojo A Cuadritos M. Rojo,
16,5,IGUALITO (4961),"1200m Arena",TENGO UN SUEND (Good Samarit),57,R. Avila,R. Montesino S.,22,9cP 13cA 12cA,05/12,1.000 25-21,13 3/4 0:58.16,60.3,429,Hermanos Diaz - Azul V Y Anillos Blanc,
16,6,IGUALITO (4961),"1200m Arena",MISTERIO LUMINOSO (Grand Dar),59,R. S. Dores,S. Morales G.,25,5cA 9cA 5cA,12/12,1.000 27-24,5 3/4 0:59.56,10.9,472,Universo Equino Verde Lista Amarillo Gr. A Cuadri,Cortada su linea en la primeras distancias [cite: 579]
16,7,IGUALITO (4961),"1200m Arena",DON MIGUE (Goud Samaritan),58,B. Trancoso,M. Medina T.,23,11cA 9cA 3A,12/12,1.000 23-19,1 3/4 0:58.58,22.1,457,El Toro Bayo Amarillo Trebol Y Gr. Verde M. En R,
16,8,IGUALITO (4961),"1200m Arena",BESO AL CIELO (Grand Daddy),58,R. Painen,Js. Araya B.,23,3A 8A 2A,12/12,1.000 23-19,1 сро. 0:58.58,6,490,Legacy Blanco Y Negro En Rombos M. Blanco Bra,
16,9,IGUALITO (4961),"1200m Arena",EL ARRUGAO (Distorted Economy),56,V. Bracetti,H. Manriquez F.,21,8cA 7cA 11cA,07/12,1.200 28-20,13 1/2 1:09.58,31.5,460,El Aromo Amarillo Y Verde Por Mitad Horizontal T,
16,10,IGUALITO (4961),"1200m Arena",HARRY GO (Cunco),54,Joh. Gonzalez,J. Pinochet P.,19,6h 3A 10cA,07/12,1.200 28-20,13 1/4 1:09.58,16.2,483,Los Laureles Azul Y Blanco A Cuadritus M. Rojo G,
16,11,IGUALITO (4961),"1200m Arena",QUEEN TIGER (Handsome Tiger),54,R. Cisternas,Jn. Cavieres A.,19,4cA 6A 1cA,07/12,1.200 15-9,1 cpo. 1:10.94,3.7,457,El Cedro Rojo Ban. Blanco M. Y Gr. Verde,
17,1,IMPERIALISTA (4962),"1200m Arena",VERSE BIEN (Admiral),57,Seh. Gonzalez,E. Carreño R.,16,11cA 11cA 4cA,07/12,1.200 19-14,3 1/4 1:11.27,5.9,475,El Ganchito Negro Cruz Celeste Magas Listadas G,Saltó al partir [cite: 667]
17,2,IMPERIALISTA (4962),"1200m Arena",ARAGONERD (The Lumber Guy),55,P. Reyes,R. Sanchez Q.,14,11cA Th Th,11/12,1.000 10-2,Nariz 0.58.59,1.5,451,Haras Lizzie Amarillo Y Bco En Ruedas. Mngs Ama,
17,3,IMPERIALISTA (4962),"1200m Arena",ALCABONTA (Patternrecognition),55,Jr. A_ Gonzalez,G. Melej R.,14,4cA 9A 4A,01/12,1.000 Condi,3 1/2 c 0:58.58,12.8,509,Kdm- Azul Ban. Amarillo M. Negro Bra. Amarillo Gu,
17,4,IMPERIALISTA (4962),"1200m Arena",TINTA ETERNA (Dylan Thomas),56,R. Covarrubias,S. Alvarado P.,15,2cP 5cP 14cA,28/11,1.000 19-16,23 1/4 0:58.09,31.3,513,Mis Des Amores Blanco Cruz Y Anillos Negros,Mañoseaba en tierra derecha [cite: 666]
17,5,IMPERIALISTA (4962),"1200m Arena",SABIONDO (Pattemrecognition),56,Jon. A_ Castillo,A. Parra D.,15,14cA 9A 9cA,15/12,1.400 19-13,10 1/2 1:25.22,48.9,484,Mamajelu Rojo Y Azul Por Mitad Horiz. V Fj.,
17,6,IMPERIALISTA (4962),"1200m Arena",SAIKOU (Lookin At Lucky),57,C. Fuenzalida,A. Jaque S.,16,10cA 3A 7A,12/12,1.000 18-14,5 cpos. 0:59.10,6.1,462,Jaque S. Angel Calipso Ban. Y Gr. Azu,Saltó hacia adentro al partir [cite: 666]
17,7,IMPERIALISTA (4962),"1200m Arena",ACEPTO SEÑOR (Gstaad li),56,A. Zuñiga,P. Molina L,15,10h 7h 3h,06/12,1.200.15-14,5 3/4 1.09.81,5.3,500,Ximena Monica Blanco Estrellas Solferino Y Turqu,
17,8,IMPERIALISTA (4962),"1200m Arena",SUBI (Passion For Geld),57,R. Solorza,S. Alvarado P.,16,1cA 6A 10A,12/12,1.000 18-14,9 1/2 0:59.10,25.1,476,As Morado Y Verde Listado M. Morado Gr. Negr,
17,9,IMPERIALISTA (4962),"1200m Arena",SEÑOR AMANTE (Grand Dad),56,B. Soto,Js. Araya B,15,8h 1cP 3cP,03/08,1.300 Condi,3 1/2 c 1:18.81,14.2,464,Olimpic Blue Turquesa M. Blanca Y Ngro En Rueda,Saltó hacia afuera al partir [cite: 666]
17,10,IMPERIALISTA (4962),"1200m Arena",TWEETY (Viscount Nelson),54,J. Medina,R. Toledo M.,13,1cA 2A 6cA,12/12,1.000 18-14,5 cpos. 0:59.10,8.4,451,Haras Lizzie Amarillo Y Bco En Ruedas. Mngs Ama,
17,11,IMPERIALISTA (4962),"1200m Arena",YO SOY YI (Grand Daddy),54,G. Rodriguez,H. Mantiquez F.,13,2cA IcA 1cA,07/12,1.200 9-5,1 сро. 1:12.09,9.6,509,Kdm- Azul Ban. Amarillo M. Negro Bra. Amarillo Gu,
17,12,IMPERIALISTA (4962),"1200m Arena",MISTER HEAD (Dylan Thomas),55,A. Alvarez,A. Parra D.,14,7cA 11cA 3cA,15/12,1.400 19-13,4 cpos. 1:25.22,32.6,513,Mis Des Amores Blanco Cruz Y Anillos Negros,
17,13,IMPERIALISTA (4962),"1200m Arena",MAGUIRE (Mo Town),54,R. Painen.,Js. Araya B.,13,2cA 7cA 6cP,05/12,1.200 20-14,8 3/4 c 1:08.33,26.8,620,Legacy Blanco Negro En Rombos M. Blanco Bra,
17,14,IMPERIALISTA (4962),"1200m Arena",MATE AMARGO (Ahora li),54,J. Toro,Js. Araya B.,13,3cP 10c 6cP,15/12,1.000 14-11,3 3/4 0:58.02,11.7,434,Mi Chica Mañosa Azul Y Amarillo Zig Zag Blanco,
17,15,IMPERIALISTA (4962),"1200m Arena",DOCTORA MILAGRO (Good Sama),55,N. Rojas,D. Matte D.,14,9cA 9cA 4cA,15/12,1.400 19-13,4 1/4 1:25.22,27.9,484,Millonario Azul Y Celeste Listado Gr. Blanc,
18,1,IVORY (4963),"1200m Arena",MUY TEMPERADA (Distorted Eco),57,Joh. Gonzalez,A. Jaque S.,7,7cP IDCA 9cA,12/12,1.000 9-8,10 1/4 0:58.23,15.1,423,Panadera Celeste Fj. En Romba Y M. Rosado Bra.,
18,2,IVORY (4963),"1200m Arena",MECEDOR (Hold Me Back),56,W. Quinteros,F. Gonzalez S.,6,12h 6cA 11A,12/12,1.000 7.5,10 1/2 0:59.68,36.4,484,Nanao Azul Ban. M. Y Gr. Blanco Bra. Azul,
18,3,IVORY (4963),"1200m Arena",LITTLE GASPI (War Command),56,D. Carrasco,R. Montesino S.,6,1cP 8cP,15/12,1.000 7-3,8 3/4 0:58.83,21.8,501,Roxanita Rojo Trebol Negro Gr. Turques,
18,4,IVORY (4963),"1200m Arena",JARDIN OLVIDADO (Exaggerator),56,M. A. Donuso,O. E. Silva G.,6,13cA 7A 15cA,05/12,1.000 7.5,14 1/2 0:59.14,62.3,484,Sagardia Hnos. Blanco Lun. Roj,
18,5,IVORY (4963),"1200m Arena",VUELA EL AMOR (Gemmologist),57,C. Fuenzalida,A. Jaque S.,7,5cA 6A 5cA,12/12,1.000.98,11 3/4 0:59.23,33.6,447,Roger Wellmann H. Naranjo Rombo Y Gr. Verde,
18,6,IVORY (4963),"1200m Arena",ACHAPLINA (Seeking The Dia),57,L. C. Gonzalez,W. Peña P.,7,7cA 10A 12A,12/12,1.000 9-8,5 1/4 0:59.23,7,476,Monique Fucsia Fr. Dorado M. Rosado Estrellas C,
18,7,IVORY (4963),"1200m Arena",QUEEN ANY (Cloud Computing),57,A. Villagra,R. Montesino S.,7,11cP th 7h,11/12,1.000 8-1,6 cpos. 0.58.30,3.9,406,Peña P. Waleska Negro Tirantes Y Bra. Rojo Gr. E,
18,8,IVORY (4963),"1200m Arena",ASTRO SOL (Good Samaritan),57,N. Santibañez,A. Parra D.,7,11cA 7A 10A,12/12,1.000 9-8,11 сро 0:59.23,9.7,436,Los Cabezas Alvarez Rosado Estrella Verde M. Y E,
18,9,IVORY (4963),"1200m Arena",EL FELICIDAD (Ivan Denisovich),56,B. Troncoso,A. Parra D.,6,5cP 8P 9cA,15/12,1.400 7-2,8 1/2 c 1:26.92,7.2,462,Los Maquitos Blanco Estrella Amarillo M. Y Gr. Ne,
18,10,IVORY (4963),"1200m Arena",FINAU (Daddy Long Legs),54,L. Gonzalez,R. Silva S.,4,4cA 9h 14h,13/12,1.200 8-5,10 3/4 1.11.92,22.1,443,Chacha Verde Tirantes Rojo Gr. Blanco,
18,11,IVORY (4963),"1200m Arena",VUELVE LA FARRA (El Farrero),54,Cl. Jorquera,R. Sanchez Q.,4,3cA 11cA 8cA,12/12,1.000 5-3,8 cpos. 0:59.71,16.5,448,Jotabe Blanco Y Verde Listado M. Blanco Gr. Vαι,Encajonado en las primeras distancias [cite: 731]
